label	text
oos	việt_nam có bao_nhiêu dãy núi cao trên 3000m
oos	một công_cụ để phát_hiện những chấn_động của trái_đất
oos	tên thủ_đô hành_chính mới được xây_dựng của malaysia
oos	cầu_thủ ronaldo awudu hiện_nay thi_đấu cho câu_lạc_bộ bóng_đá nào
oos	chủ_tịch hiện_nay của hải_dương là ai
oos	văn_miếu được xây_dựng năm nào
oos	tỉnh hoà_bình thuộc vùng địa_lý_tự_nhiên nào của miền bắc việt_nam
oos	ung chính làm vua từ năm nào
oos	khí clo có màu gì
oos	ronaldo trở_thành cầu_thủ đắt_giá nhất lịch_sử bóng_đá năm nào
oos	quốc_ca của cộng_hoà_séc là gì
oos	vị vua nào đặt ra luật_lệ khắc tên tiến_sĩ vào bia đá ở văn_miếu quốc tử giám
oos	canberra là thủ_đô của nước nào
oos	các đô_thị từ_loại iii trở lên gọi là gì
oos	ai là người đầu_tiên vẽ quốc_kì việt_nam
oos	nước ta có tên là việt_nam dưới thời vua nào
oos	hóa đơn bên anh khi mua theo gói hóa đơn thì có tính thời gian sử dụng không
oos	hệ_điều_hành mac os thuộc sở_hữu của công_ty nào
oos	thành_phố có dân_số đông thứ nhì việt_nam là gì
oos	bulgaria tiếp_giáp lãnh_thổ nước nào
oos	lê_uy mục bị ai lật_đổ
oos	dòng sông bạch đằng nổi_tiếng đổ ra biển ở tỉnh nào của nước ta
oos	đâu là tên gọi của thành_phố cảng nổi_tiếng ở bồ_đào_nha
oos	dân_số tại châu_phi năm 2016 là bao_nhiêu
oos	khối_lượng trái_đất là bao_nhiêu
oos	thành_phố stalingrad nằm bên dòng sông nổi_tiếng nào
oos	đơn_vị_tiền_tệ của canada là gì
oos	nguyễn_phú trọng được bầu làm chủ_tịch nước ngày_tháng năm nào
oos	một năm việt_nam có bao_nhiêu lễ_hội
oos	hậu_giang từng là tên gọi của sông nào
oos	nữ_hoàng elizabeth ii kết_hôn với ai
oos	rồng komodo được tìm thấy ở quốc_gia nào
oos	diện_tích togo là bao_nhiêu
oos	những ngôn_ngữ nào được sử_dụng ở luxembourg
oos	tên glucose bắt_nguồn từ đâu
oos	bảng_tuần_hoàn các nguyên_tố_hoá_học là gì
oos	một số kế toán phản hồi misa hỗ trợ chậm trễ, không nhiệt tình, nếu chị triển khai em có cam kết gì không?
oos	sự qua_đời đột_ngột của vua lê_thái tông khiến gia_đình của ai bị hoạ lây
oos	nhà lý tồn_tại bao_nhiêu năm
oos	phim titanic được sản_xuất vào năm nào
oos	tên vườn_quốc_gia nằm ở 3 tỉnh ninh_bình hoà_bình thanh_hoá
oos	công_viên quốc_gia hồ plitvice có bao_nhiêu hồ nước
oos	chùa long sơn nổi_tiếng còn có tên gọi khác là gì
oos	ai là người đầu_tiên đặt_chân lên mặt trăng
oos	trên thế_giới có bao_nhiêu quốc_gia
oos	tay_vợt tennis nam nào là tay_vợt xếp số 1 thế_giới tính đến hết năm 2006
oos	vĩnh_long chính_thức trở_thành bộ_phận lãnh_thổ nước ta dưới thời vị chúa nguyễn nào
oos	dân_số của na_uy là bao_nhiêu
oos	thành_phố nào là thủ_đô của uzbekistan
oos	vườn_quốc_gia u_minh thượng ở tỉnh nào
oos	đường biên_giới trên đất_liền nước ta giáp với các nước nào
oos	ai là người lãnh_đạo dẹp loạn 12 sứ_quân
oos	quặng apatit lớn nhất của nước ta nằm ở tỉnh nào
oos	thủ_đô của vương_quốc_anh là gì
oos	ấp hà_đông tiền_thân của làng hoa đầu_tiên ở đà_lạt thành_lập từ năm nào
oos	người ta quy_định lấy kinh_tuyến ở kinh_độ bao_nhiêu làm đường chuyển ngày
oos	việt_nam có bao_nhiêu tôn_giáo đang hoạt_động
oos	đường bờ biển của việt_nam dài khoảng bao_nhiêu km
oos	ai là người công_bố bảng_tuần_hoàn hoá_học
oos	tên cây cầu_đường bộ bắc qua sông hồng trên biên_giới việt_trung
oos	nhân_tài khoa_bảng nào quê thanh_hoá đỗ bảng_nhãn khi mới chỉ 17 tuổi
oos	núi_lửa tambora nằm ở quốc_gia nào
oos	vị triết_gia nào là cháu 7 đời của vương cương và cũng là người đã lập trung hiếu từ thờ cha_con vương cương vương ngạn đạt
oos	cuộc khởi_nghĩa của lê lợi kéo_dài bao_nhiêu năm
oos	đàn tuần_lộc kéo xe cho ông_già noel có bao_nhiêu con
oos	black pink là nhóm nhạc của nước nào
oos	bangladesh giáp những đại_dương nào
oos	bao công còn được gọi là gì
oos	anime là gì
oos	thời_gian hcm ra_đi tìm đường cứu nước
oos	ai là trạng_nguyên trẻ nhất trong lịch_sử khoa_bảng nước_nhà
oos	chu_du sinh năm mấy
oos	trường đại_học xây_dựng được thành_lập ngày_tháng năm nào
oos	quốc_ca của nước việt_nam do ai sáng_tác
oos	ấn_độ là nơi ra_đời của tôn_giáo nào
oos	quốc_gia nào sử_dụng nhiều loại ngôn_ngữ nhất trên thế_giới
oos	hà_nội được unesco trao_tặng danh_hiệu gì
oos	chùa côn sơn ở đâu
oos	california có diện_tích là bao_nhiêu
oos	phần mềm dùng thử được không
oos	quốc_gia nào chế_tạo máy_bay đứng đầu thế_giới
oos	dưới thời trị_vì của mình vua lê_thánh tông đã cho ban_hành bộ_luật nào
oos	vườn_quốc_gia nào thuộc địa_bàn tỉnh cà_mau
oos	thực_dân pháp mở_đầu xâm_lược việt_nam ở đâu
oos	diện_tích của biển baltic là bao_nhiêu
oos	phố hàng_buồm ngày_xưa buôn_bán hàng_hoá gì
oos	lebanon là thành_viên tổ_chức nào
oos	đàn_nguyệt là nhạc_cụ có ở miền nào của việt_nam
oos	canada thuộc khu_vực địa_lý nào của châu_mỹ
oos	chủ_tịch uỷ_ban_nhân_dân hiện_tại của thành_phố huế là ai
oos	vị thủ_tướng anh nào từng đoạt giải nobel văn_học
oos	bảy nước_lớn thời_chiến quốc là gì
oos	ai_cập có tất_cả bao_nhiêu vị vua
oos	hiện_nay việt_nam có bao_nhiêu trường đại_học
oos	sân_bay bận_rộn thứ hai trên thế_giới là sân_bay nào
oos	dân_số cam pu chia là bao_nhiêu năm 1999
oos	trung_quốc có đường biên_giới với quốc_gia nào nào
oos	biển của thái_lan giáp với biển của các quốc_gia nào
oos	việt_nam nằm ở đâu của bán_đảo đông dương
oos	thành thái sinh năm mấy
oos	ngoài kiệt_tác truyện_kiều đại thi_hào nguyễn_du còn để lại tác_phẩm nổi_tiếng nào
oos	thành_phố được coi sạch nhất thế_giới
oos	trước khi trở_thành tổng_thống zimbabwe ông emmerson mnangagwa giữ chức_vụ gì
oos	thủ_phủ của bang zurich hiện_nay là thành_phố nào của thuỵ_sĩ
oos	phần cuối của nhật_ký trong tù viết gì
oos	jack dorsey là người sáng_lập ra mạng xã_hội nào
oos	đinh toàn tử_trận khi đi dẹp loạn vùng cẩm_thuỷ thuộc tỉnh nào hiện_nay
oos	trận đấu bóng_đá quốc_tế đầu_tiên trên thế_giới diễn ra vào năm bao_nhiêu
oos	hai món ăn không_thể thiếu của ngày lễ tạ ơn là gì
oos	chức_năng của quốc_hội trong bộ_máy nhà_nước ta
oos	năm quốc_tế đại_dương là năm bao_nhiêu
oos	ai phát_minh ra cách đánh_máy unikey
oos	thành_phố nào là tỉnh_lỵ của tuyên_quang
oos	vua triều nguyễn nào đã chọn huế làm kinh_đô
oos	lê_thanh_vân là đại_biểu quốc_hội thuộc đoàn đại_biểu quốc_hội tỉnh nào
oos	ai là người phát_minh ra cây atm
oos	ai là đội_trưởng của đội việt_nam tuyên_truyền giải_phóng_quân
oos	singapore giáp những nước nào
oos	loài động_vật trên cạn to_lớn nhất hiện_nay
oos	đất_nước nào mà tên của nó có nghĩa là vùng_đất thấp
oos	chùa đồng lớn nhất việt_nam được đặt ở đâu
oos	chì nguyên_chất có màu gì
oos	trịnh công sơn có bao_nhiêu bài hát được biết đến rộng_rãi
oos	"tác_giả của "" bạch đằng giang phú """
oos	việt_nam trải qua bao_nhiêu cuộc chiến_tranh
oos	titanic bị đắm ở đâu
oos	đơn_vị đo độ dài nào là dài nhất
oos	biệt_danh chú sam của nước mỹ được gọi theo tên ai
oos	trang_trí bên trong khách_sạn burj al arab chủ_yếu là gì
oos	tôn_giáo nào được xem là quốc_giáo của malaysia
oos	chức_năng của viện_kiểm_sát nhân_dân
oos	ronaldo trở_thành cầu_thủ đắt_giá nhất lịch_sử bóng_đá năm nào
oos	ngày quốc_tế phòng_chống aids hằng năm là ngày nào
oos	nguyên_tố nào được đặt tên để vinh_danh vợ_chồng marie curie
oos	thủ_đô của ấn_độ là
oos	doanh_số bán đĩa của the beatles là bao_nhiêu
oos	thành_phố hải_phòng thuộc khu_vực địa_lý nào của việt_nam
oos	nga có biên_giới biển với quốc_gia nào
oos	trước năm 1974 đội vô_địch được trao cúp có tên là gì
oos	nước nào xuất_khẩu cà_phê nhiều nhất thế_giới
oos	tam sơn là địa_phương của tỉnh nào
oos	sau khi qua_đời vua khải định được an_táng tại lăng nào
oos	vịnh hudson lớn thứ hai trên thế_giới nằm ở quốc_gia nào
oos	nơi hẹp nhất của việt_nam thuộc tỉnh nào
oos	người đặt quốc_hiệu đại cồ việt là ai
oos	cửa_khẩu tịnh_biên thuộc tỉnh nào của việt_nam
oos	mặt trân dân_chủ đông dương thành_lập vào năm nào
oos	marie curie là nữ giảng_viên đại_học đầu_tiên của trường đại_học nào
oos	tên một ngọn núi cao nhất ở indonesia
oos	""" đảo rắn "" nổi_tiếng thuộc_quốc_gia nào"
oos	"bắc_bình vương "" là ai"
oos	đất_nước nào có nhiều hoa_hậu nhất trên thế_giới
oos	chiến_thắng nào quyết_định đến kết_quả hiệp_định paris năm 1973
oos	kinh_đô nhà đinh nằm ở tỉnh nào hiện_nay
oos	con_người có mấy nhóm máu chính
oos	tình_hình giới trẻ nghiện mạng xã_hội là do đâu
oos	diện_tích của philippines là bao_nhiêu
oos	bộ_trưởng bộ công_thương của đất_nước việt_nam là ai
oos	tên chính_thức của nhật_bản là gì
oos	áo_dài được mặc vào dịp gì
oos	trần_hưng đạo mất năm nào
oos	trạng_nguyên nổi_tiếng nào là thầy dạy của trạng bùng
oos	cơn bão lớn nhất đi vào việt_nam là cơn bão nào
oos	ai là người đánh chiếm lấy thành_long_biên
oos	bộ phim tây du_ký được chuyển_thể từ tiểu_thuyết gì
oos	địa_hình của hà_lan có đặc_điểm khác_biệt nào với đa_số quốc_gia khác
oos	buôn_ma_thuột là tỉnh_lỵ của tỉnh nào
oos	có tất_cả bao_nhiêu vua thời nhà lý
oos	người việt duy_nhất được phong tướng ở cả việt_nam và trung_quốc
oos	tên khai_sinh của trần thái tông là gì
oos	ngôn_ngữ chính_thức của ethiopia
oos	nhà_máy lọc dầu đầu_tiên của việt_nam được xây_dựng ở quảng_ngãi có tên gì
oos	theo thần_thoại ai là tổ_tiên của người nhật
oos	diện_tích biển việt_nam khoảng bao_nhiêu km2
oos	loài rắn đuôi chuông kịch độc sống nhiều ở châu_lục nào
oos	bandar seri begawan là thủ_đô nước nào
oos	kilimanjaro là ngọn núi cao nhất châu_lục nào
oos	anh thanh toán trong chiều nay, thì sáng mai anh đã được xuất hóa đơn điện tử chưa?
oos	công_trình vĩ_đại nào của loài_người có_thể nhìn thấy được khi ở ngoài vũ_trụ
oos	tác_phẩm tắt đèn nói về nội_dung gì
oos	ai là nữ_tướng huyền_thoại của đội quân tóc dài
oos	biệt_danh xứ nghệ của nghệ_an xuất_hiện từ triều_đại nào
oos	ngôn_ngữ nước nào có nhiều chữ_cái nhất
oos	"tác_giả của bức tranh nổi_tiếng "" hoa hướng_dương "" là ai"
oos	phần mềm xử lý hóa đơn có thể nhập các hóa đơn trước thời điểm mua hàng không?
oos	tên thủ_đô của brazil là gì
oos	một loại nhạc_cụ phổ_biến của người xtiêng
oos	""" văn_học là nhân học "" là câu nói nổi_tiếng của nhà_văn nào"
oos	hải_dương có bao_nhiêu huyện
oos	vị vua đầu_tiên của nhà trần là ai
oos	sông gì dài nhất nước ta – là sông gì
oos	hà_nội được unesco trao_tặng danh_hiệu gì
oos	quê_hương của tổng_thống obama ở đâu
oos	nam thiên đệ nhất động là tên gọi của danh_lam_thắng_cảnh nào
oos	tên chính_thức của hàn_quốc là gì
oos	tam_giác quỷ có tên khác là gì
oos	đức hiện_nay là nền kinh_tế lớn thứ mấy trên thế_giới
oos	điểm sâu nhất của đại_dương là ở đâu
oos	đội bóng đầu_tiên 3 lần vô_địch world_cup
oos	đàn tuần_lộc kéo xe cho ông_già noel có bao_nhiêu con
oos	ai là người có công mở_đầu cơ_nghiệp cho chúa trịnh
oos	trần thủ độ mất năm nào
oos	ai là người trị_vì nước_đại việt từ năm 1428 đến 1433
oos	bulgaria tiếp_giáp lãnh_thổ nước nào
oos	linh_kiện bán_dẫn đầu_tiên là gì
oos	huyện nào của thanh_hoá từng được nhà hồ chọn làm kinh_đô
oos	ở nước nào đã có bản_sao của tháp epfen
oos	nguồn_gốc của tên sài_gòn nay là thành_phố hồ_chí_minh
oos	tên toà nhà cao nhất việt_nam là gì
oos	uzebekistan thuộc khu_vực nào của châu_á
oos	công_viên lê_văn tám ở thành_phố hồ_chí_minh thuộc quận mấy
oos	ai quyền_lực nhất iran
oos	tết sâu_bọ là ngày nào
oos	lý quang diệu sinh năm nào
oos	cao văn ngọc quê ở đâu
oos	thành_phố nào lớn thứ 2 của trung_quốc
oos	bồ_đào_nha có đường biên_giới trên bộ tiếp_giáp quốc_gia nào
oos	đường hoa nguyễn_huệ con đường hoa được tố chức thường_niên năm 2011 có chủ_đề là gì
oos	cục chống tham_nhũng được thành_lập từ khi nào
oos	danh_tướng kiệt_xuất nào của nước_nga từng đánh_bại liên_quân của napoleon bonaparte
oos	tên của loại ngôn_ngữ và chữ_viết cổ nhất từng ra_đời ở lưỡng_hà
oos	chiến_tranh thế_giới thứ hai bắt_đầu vào năm nào
oos	hồ nằm giữa trung_tâm thành_phố đà_lạt mang tên gì
oos	đàn_tranh có bao_nhiêu dây
oos	nữ_tướng trần thị lan là tuỳ_tướng của nữ_tướng nào
oos	võ thị sáu mất năm nào
oos	cách sử dụng cks từ xa như thế nào?
oos	cuba có có diện_tích tự_nhiên và dân_số xếp thứ mấy trong khu_vực
oos	việt_nam có bao_nhiêu di_tích lịch_sử quốc_gia
oos	hợp_chất hữu_cơ xuất_hiện đầu_tiên trên trái_đất khi nào
oos	bộ tem bưu_chính đầu_tiên của việt_nam in hình gì
oos	ai tìm ra hố_đen
oos	vĩnh_long chính_thức trở_thành bộ_phận lãnh_thổ nước ta dưới thời vị chúa nguyễn nào
oos	miễn_dịch là gì
oos	tỉnh bình_thuận nổi_tiếng với loại cây đặc_sản nào
oos	cơ_quan_quyền_lực cao nhất trong hệ_thống chính_trị liên xô
oos	châu_á nằm ở đâu trên quả địa_cầu
oos	hang_động nổi_tiếng ở ninh_bình được cho là chứa kho báu
oos	ngôn_ngữ chính_thức của người_dân iceland là
oos	động thạch sanh ở địa_phương nào ở kiên_giang
oos	tiếng chim hót trong bụi mận gai được do ai sáng_tác
oos	sau khi qua_đời nguyễn_kim được phong là gì
oos	đội thiếu_niên tiền_phong hồ_chí_minh được ai phụ_trách hướng_dẫn
oos	bộ_trưởng bộ giáo_dục đầu_tiên của nước ta
oos	sông trường_giang chảy qua tỉnh nào của trung_quốc
oos	thành_phố nào hiện có lăng của võ tánh
oos	tên chính_thức của thái_lan là gì
oos	gà trống goloa là biểu_tượng của nước nào
oos	cờ của nước nào có in hình lá cờ trên quốc_kì
oos	ceo facebok mark zuckerberg năm nay bao_nhiêu tuổi
oos	vệ_tinh_nhân_tạo đầu_tiên có tên là gì
oos	nguyễn_phúc thì sinh ngày mấy
oos	đảo ngọc ở đâu
oos	bí_thư của đà_nẵng là ai
oos	obama đắc_cử vào thượng_viện hoa_kỳ năm nào
oos	bắc_bộ từng có những tên gọi nào
oos	nhà_nước xã_hội_chủ_nghĩa liên xô tan_rã vào năm nào
oos	hồ tây còn có tên gọi khác là hồ gì
oos	trường đại_học đầu_tiên của châu_âu nằm ở đâu
oos	ai là người sáng_tác ra bài quốc_ca việt_nam
oos	chức_vụ cao nhất mà tô hiến thành từng đảm_nhận
oos	các vua hùng đóng_đô ở đâu
oos	hiện_tượng mưa axit là gì
oos	diện_tích phú_quốc là bao_nhiêu
oos	triều_tiên có biên_giới giáp với các nước nào
oos	thủ_đô của iran hiện_nay là thành_phố nào
oos	thiên_đường thuế là gì
oos	chị bên công ty xây dựng, 1 năm xuất 2-3 tờ hóa đơn, tư vấn giúp chị thủ tục đăng ký và nộp hồ sơ lên thuế nha
oos	"bl \ "" là mã_hiệu iata hiệp_hội vận_tải hàng_không quốc_tế của hãng hàng_không việt_nam nào"
oos	biển nào ấm nhất thế_giới
oos	ứng_dụng của lưu_huỳnh là gì
oos	ai là bí_thư hiện_nay của tỉnh bắc_ninh
oos	phú_yên ở khu_vực nào của nước ta
oos	giải nobel toán_học năm 2006 thuộc về quốc_gia nào
oos	tỉnh_hưng_yên nằm ở vùng trung_tâm đồng_bằng nào của việt_nam
oos	côn_đảo thuộc các tỉnh nào của việt_nam
oos	đại ngu là quốc_hiệu của triều_đại nào
oos	tự đức là con của vua nào
oos	lễ_hội đua voi được tổ_chức ở tỉnh nào
oos	lý thường kiệt cho quân_lính đọc bài nam quốc sơn_hà ở sông nào
oos	lò phản_ứng hạt_nhân duy_nhất của việt_nam nằm ở tỉnh nào
oos	bức tường berlin sụp_đổ vào năm nào
oos	ai là người chống lại tiêu tư
oos	sông dài nhất thế_giới
oos	tỉnh đắk_lắk hiện có bao_nhiêu đơn_vị hành_chính cấp huyện_thị
oos	tỉnh tây_ninh tiếp_giáp với quốc_gia nào sau đây
oos	địa_danh đá ba chồng thuộc huyện nào của tỉnh đồng_nai
oos	ngô_quyền đã đánh_bại quân nam hán trên sông nào
oos	tfboys được thành_lập vào ngày_tháng năm nào
oos	cầu long_biên nổi_tiếng ở hà_nội được bắt_đầu xây_dựng vào năm nào
oos	thủ_đô của uae hiện_nay là thành_phố nào
oos	dân_số của nga đứng thứ mấy trên thế_giới
oos	feliz navidad là ngôn_ngữ nước nào
oos	nguyên_tố_hoá_học nào do marie curie tìm ra
oos	tổ_chức nào được trao giải nobel vì hoà_bình năm 2001
oos	hồ tây có diện_tích bao_nhiêu
oos	vua nào tha tội chết cho cao bá quát
oos	thành_phố hải_phòng còn có biệt_danh là gì
oos	bangladesh nằm ở khu_vực nào
oos	phố cổ hội_an nằm ở hạ_lưu con sông nào
oos	ai là người đổi tên thành đại la thành thăng_long
oos	kỹ_thuật đúc đồng bắt_đầu xuất_hiện trong nền văn_hoá nào ở nước ta
oos	nhà_giáo mai khắc đôn quê ở tỉnh nào hiện_nay
oos	nền văn_minh babylon ngày_nay thuộc đất_nước nào
oos	dân_số việt_nam là bao_nhiêu
oos	hàn_quốc còn có những tên gọi nào
oos	trong tiếng nhật samurai nghĩa_là gì
oos	đại_lộ đông_tây ở thành_phố hồ_chí_minh hiện đã được đổi tên_thành
oos	ngôi chùa cổ nhất ở hà_nội tên là gì
oos	giám_đốc công_an của tỉnh bắc_giang là ai
oos	quốc_gia nào có số dân lớn thứ 5 thế_giới
oos	thủ_lĩnh của cuộc khởi_nghĩa yên_thế là ai
oos	chiến_tranh đông dương kết_thúc vào năm nào
oos	em gửi cho chị vài mẫu hoá đơn bên em chị xem
oos	bộ phim tây du_ký được chuyển_thể từ tiểu_thuyết gì
oos	nguyễn ánh lên_ngôi năm nào
oos	thành_phố có mật_độ dân_số cao nhất thế_giới
oos	anh muốn mua phần mềm 1 năm thì cần thủ tục gì
oos	ai được sử_sách ghi_nhận là trạng_nguyên đầu_tiên của lịch_sử việt_nam
oos	nhà_nước việt_nam dân_chủ cộng_hoà ra_đời năm nào
oos	con gà là gì
oos	mục_đích của các doanh_nghiệp khi muốn thanh_toán bằng bitcoin
oos	chữ_viết đầu_tiên được nước ta sử_dụng là gì
oos	thị_xã hội_an nằm bên bờ con sông gì
oos	ai là người châu_âu đầu_tiên đặt_chân đến indonesia
oos	người nào là chủ_tịch hiện_nay của tỉnh thái_bình
oos	những album vĩ_đại của the beatles là gì
oos	chứng ngưng thở khi ngủ có_thể xảy ra bao_nhiêu lần mỗi giờ
oos	đại_dương nào nóng nhất
oos	chiến_tranh thế_giới thứ hai chấm_dứt vào năm nào
oos	truyền_thuyết về vua hùng bắt_nguồn từ đâu
oos	thủ_đô của cộng_hoà_xã_hội_chủ_nghĩa_việt_nam là gì
oos	bảy kỳ_quan thế_giới mới được lựa_chọn như_thế_nào
oos	anh/chị thấy báo giá bên em cao hơn các bên khác, bên mình có gì khác với các bên còn lại hay sao em?
oos	hồ nước_ngọt lớn nhất châu_á
oos	người phát_minh ra động_cơ_đốt_trong
oos	thăng long được chia làm 36 phố_phường từ triều_đại nào
oos	chị mua trước một năm thì năm sau gia hạn có được ưu đãi gì không
oos	huyện đảo lớn nhất việt_nam thuộc tỉnh nào
oos	hồ_chí_minh đọc bản tuyên_ngôn độc_lập vào ngày_tháng năm nào
oos	thiếu_nữ bên hoa sen hai thiếu_nữ và em bé thiếu_nữ ngồi bên tranh tam đa là bức tranh nổi_tiếng của ai
oos	đinh thế huynh sinh năm nào
oos	karl heinrich marx sinh năm mấy
oos	quốc_tế thứ hai tồn_tại bao_nhiêu năm
oos	kinh_tế hoa_kỳ đứng thứ mấy thế_giới
oos	lê_uy mục bị ai lật_đổ
oos	trần thủ độ mất năm nào
oos	ai là người tìm ra định_luật quang_điện
oos	người đầu_tiên giúp nước ta giành quyền tự_chủ sau thời bắc_thuộc
oos	ai được xem là ông_tổ của súng thần_công ở việt_nam
oos	quốc_gia nào có diện_tích tự_nhiên lớn nhất nam mỹ
oos	quê_hương của tổng_thống obama ở đâu
oos	nguyên_tố_hoá_học nào phổ_biến nhất trong vũ_trụ
oos	adolf hitler là thủ_tướng đức từ năm nào
oos	nam_phi giáp với những nước nào
oos	ai là người đánh bom vào dinh độc_lập năm 1962
oos	lebanon là thành_viên tổ_chức nào
oos	đâu là hệ đầm_phá nào lớn nhất việt_nam và đông nam á
oos	cầu long_biên nổi_tiếng ở hà_nội được bắt_đầu xây_dựng vào năm nào
oos	loại boom có sức công_phá huỷ_diệt nhất là loại bom gì
oos	thực_dân pháp nổ sung tấn_công xâm_lược việt_nam khi nào
oos	tổ_chức thống_nhất châu_phi gồm bao_nhiêu nước thành_viên
oos	thái_tử mohammed bin salman đang nắm giữ chức_vụ nào trong chính_phủ saudi arabia
oos	sau khi ngô_quyền mất thì ông uỷ_thác con trai mình cho ai phò_tá
oos	tom và jerry là bộ phim do hãng nào sản_xuất
oos	đại_dương nào nóng nhất
oos	đỉnh núi nào cao nhất trái_đất được mệnh_danh là nóc nhà thế_giới
oos	nga có biên_giới biển với quốc_gia nào
oos	singapore giáp những nước nào
oos	giám_đốc công_an hiện_nay của tỉnh hà_tây là người nào
oos	đấu_trường la mã được xây_dựng nhằm phục_vụ cho cuộc_chiến giữa
oos	nước ta có những lực_lượng nào bảo_vệ anh ninh tổ_quốc
oos	ai được truyền_thuyết coi là thuỷ_tổ của dân_tộc ta
oos	máy_bay đầu_tiên được sản_xuất vào năm nào
oos	đồng_hồ thái_dương hiện được đặt tại thành_phố nào nước ta
oos	ngọn núi cao nhất ở bhutan chưa bị chinh_phục
oos	có thể giảm thêm cho chị nữa không, chị cũng mua cho nhiều đơn vị rồi ý mà giá thế này hơi cao, sếp chị lại đang lăn tăn với báo giá bên khác em ạ
oos	tên thật của vua bảo đại là gì
oos	cù_lao chàm là hòn đảo du_lịch nổi_tiếng của tỉnh nào
oos	tên cũ của hồ gươm ngày_xưa
oos	tổng_thống john f kennedy bị ám_sát ở đâu
oos	nguyễn_trãi bị kết_án tru_di_tam_tộc cùng với ai
oos	ai là quán_quân giọng hát việt 2018
oos	thành_phố lớn nhất ở đài_loan là gì
